2026-01-21 10:47:54,066 [INFO] Connecting to 149.154.167.91:443/TcpFull...
2026-01-21 10:47:54,252 [INFO] Connection to 149.154.167.91:443/TcpFull complete!
2026-01-21 10:47:55,269 [INFO] Starting full scrape
2026-01-21 10:47:55,271 [INFO] Scraping channel: lobelia4cosmetics
2026-01-21 10:50:22,428 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:23,246 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:27,404 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:30,013 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:30,675 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:32,236 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:32,905 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:33,916 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:36,186 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:38,946 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:41,599 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:42,627 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:44,724 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:45,045 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:46,707 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:51,770 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:52,862 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:54,913 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:56,575 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:57,050 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:58,116 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:50:58,732 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:03,776 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:06,293 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:09,469 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:09,912 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:11,491 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:12,578 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:14,386 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:16,730 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:17,004 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:17,705 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:19,944 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:21,566 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:23,483 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:24,928 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:25,887 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-21 10:51:26,670 [INFO] Saved 200 messages to C:\Users\Robel\OneDrive\Desktop\medical-telegram-warehouse\medical-telegram-warehouse\data\raw\telegram_messages\2026-01-21\tikvahpharma.json
2026-01-21 10:51:26,671 [INFO] Done scraping.
2026-01-21 10:51:26,672 [INFO] Disconnecting from 149.154.167.91:443/TcpFull...
